"id","date","activity","cognito_uuid"
434877,"2023-04-10 02:11:29.071522+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434876,"2023-04-10 02:11:28.045185+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434875,"2023-04-10 02:11:27.029815+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434874,"2023-04-10 02:11:26.090356+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434873,"2023-04-10 02:11:25.00995+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434872,"2023-04-10 02:11:24.046651+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434871,"2023-04-10 02:11:23.053743+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434870,"2023-04-10 02:11:22.057877+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434869,"2023-04-10 02:11:21.021299+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434868,"2023-04-10 02:11:20.027087+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434867,"2023-04-10 02:11:19.035827+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434866,"2023-04-10 02:11:18.11155+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434865,"2023-04-10 02:11:17.035842+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434864,"2023-04-10 02:11:16.029587+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434863,"2023-04-10 02:11:15.046127+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434862,"2023-04-10 02:11:14.100106+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434861,"2023-04-10 02:11:13.04064+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434860,"2023-04-10 02:11:12.066141+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434859,"2023-04-10 02:11:11.037328+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434858,"2023-04-10 02:11:10.0351+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434857,"2023-04-10 02:11:09.040003+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434856,"2023-04-10 02:11:08.060909+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434855,"2023-04-10 02:11:07.041166+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434854,"2023-04-10 02:11:06.030125+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434853,"2023-04-10 02:11:05.036219+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434852,"2023-04-10 02:11:04.049929+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434851,"2023-04-10 02:11:03.024884+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434850,"2023-04-10 02:11:02.018861+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434849,"2023-04-10 02:11:01.031119+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434848,"2023-04-10 02:11:00.060721+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
434847,"2023-04-10 02:10:59.014496+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
